course_id,course_name,category,main_category,syllabus_source,syllabus_item_count,existing_syllabus_details
"1","Fashion Design Course","Design","non-technical","courses_data.js > modules.topics","5","Module 1: Fashion Design Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"2","Interior Design Course","Design","non-technical","courses_data.js > modules.topics","5","Module 1: Interior Design Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"3","Corporate Generative Ai Course","Data Science & AI","technical","courses_data.js > modules.topics","5","Module 1: Corporate Generative Ai Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"4","Corporate Personality Development Training","Language & Soft Skills","corporate","courses_data.js > modules.topics","5","Module 1: Corporate Personality Development Training Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"5","Corporate Hr Analytics Training","HR & Management","corporate","courses_data.js > modules.topics","5","Module 1: Corporate Hr Analytics Training Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"6","Corporate Machine Learning Course","Data Science & AI","technical","courses_data.js > modules.topics","5","Module 1: Corporate Machine Learning Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"7","Corporate Artificial Intelligence Course","Data Science & AI","technical","courses_data.js > modules.topics","5","Module 1: Corporate Artificial Intelligence Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"8","Corporate Sap Training","SAP","corporate","courses_data.js > modules.topics","5","Module 1: Corporate Sap Training Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"9","Pmp Certification Course","Project Management & Certifications","corporate","courses_data.js > modules.topics","5","Module 1: Pmp Certification Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"10","Corporate Soft Skills Training","Job-Oriented Programs","non-technical","courses_data.js > modules.topics","5","Module 1: Corporate Soft Skills Training Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"11","Corporate Sales Service Training","Job-Oriented Programs","non-technical","courses_data.js > modules.topics","5","Module 1: Corporate Sales Service Training Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"12","Mlops With Aws Course","Data Science & AI","technical","courses_data.js > modules.topics","5","Module 1: Mlops With Aws Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"13","Ai Infrastructure Engineer Course","Data Science & AI","technical","courses_data.js > modules.topics","5","Module 1: Ai Infrastructure Engineer Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"14","Probability And Statistics Course","Analytics & Tools","technical","courses_data.js > modules.topics","5","Module 1: Probability And Statistics Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"15","Retrieval Augmented Generation Rag Course","Data Science & AI","technical","courses_data.js > modules.topics","5","Module 1: Retrieval Augmented Generation Rag Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"16","3Ds Max Course","Design","non-technical","courses_data.js > modules.topics","5","Module 1: 3Ds Max Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"17","Bim Course","Design","non-technical","courses_data.js > modules.topics","5","Module 1: Bim Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"18","Mechanical Cad Course","Design","non-technical","courses_data.js > modules.topics","5","Module 1: Mechanical Cad Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"19","Autocad Civil Course","Design","non-technical","courses_data.js > modules.topics","5","Module 1: Autocad Civil Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"20","Landscape Design Course","Design","non-technical","courses_data.js > modules.topics","5","Module 1: Landscape Design Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"21","French Language Classes","Language & Soft Skills","corporate","courses_data.js > modules.topics","5","Module 1: French Language Classes Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"22","German Language Course","Language & Soft Skills","corporate","courses_data.js > modules.topics","5","Module 1: German Language Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"23","Oet Course","Language & Soft Skills","corporate","courses_data.js > modules.topics","5","Module 1: Oet Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
"24","Toefl Course","Language & Soft Skills","corporate","courses_data.js > modules.topics","5","Module 1: Toefl Course Fundamentals (8 topics) | Module 2: Core Concepts & Theory (10 topics) | Module 3: Practical Applications (12 topics) | Module 4: Advanced Topics & Projects (8 topics) | Module 5: Interview Prep & Certification (6 topics)"
